"TOA5","CR1000_lautaret","CR1000","E6293","CR1000.Std.25","CPU:lautaret-radiation-station.CR1","49367","Table1"
"TIMESTAMP","RECORD","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","SUp_Avg","SDn_Avg","LUp_Avg","LDn_Avg","CNR4TC_Avg","CNR4TK_Avg","LUpCo_Avg","LDnCo_Avg"
"TS","RN","Deg C","%","meters/second","Deg","Deg","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2"
"","","Avg","Smp","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-03-02 12:15:00",0,2.093,27.94,3.68,98.2,0.025,348,718,-9.96,-44.99,3.329,276.5,321.3,286.3
"2021-03-02 12:20:00",1,2.093,32.51,4.238,98.1,0.032,341.1,708.5,-11.56,-51.93,3.319,276.5,319.7,279.3
"2021-03-02 12:25:00",2,2.21,25.84,4.478,98.1,0.023,343,708.6,-11.51,-51.64,3.235,276.4,319.3,279.2
"2021-03-02 12:30:00",3,2.327,27.06,4.775,98.2,0.03,345.4,708.8,-11.68,-51.53,3.144,276.3,318.7,278.9
"2021-03-02 12:35:00",4,2.3,26.3,4.433,98.2,0.046,345.1,709.2,-11.78,-51.48,3.158,276.3,318.7,279
"2021-03-02 12:40:00",5,2.422,20.47,4.848,98.2,0.034,344.5,706.8,-11.72,-51.59,3.207,276.4,319,279.1
"2021-03-02 12:45:00",6,2.479,25.73,4.37,98.2,0.02,342.2,702.2,-11.8,-51.48,3.259,276.4,319.2,279.5
"2021-03-02 12:50:00",7,2.637,25.8,4.582,98.2,0.052,348.4,713.5,-12.06,-51.31,3.353,276.5,319.4,280.1
"2021-03-02 12:55:00",8,2.703,25.1,4.945,98.2,0.023,350.4,718,-12.25,-51.24,3.458,276.6,319.7,280.7
"2021-03-02 13:00:00",9,2.613,30.84,4.158,98.2,0.035,331,678.5,-12.16,-51.08,3.473,276.6,319.8,280.9
"2021-03-02 13:05:00",10,2.62,22.95,4.615,98.2,0.039,328.3,673.1,-12.04,-50.45,3.414,276.6,319.7,281.3
"2021-03-02 13:10:00",11,2.722,25.43,4.805,98.2,0.043,329.5,674.2,-11.93,-49.92,3.367,276.5,319.6,281.6
"2021-03-02 13:15:00",12,2.889,23,5.087,98.2,0.047,313,639.1,-12.12,-49.6,3.411,276.6,319.6,282.1
"2021-03-02 13:20:00",13,3.066,22.33,4.967,98.2,0.043,319.8,651.9,-12.25,-49.26,3.447,276.6,319.6,282.6
"2021-03-02 13:25:00",14,3.163,27.32,5.167,98.2,0.038,311.7,634.6,-12.49,-49.25,3.522,276.7,319.7,283
"2021-03-02 13:30:00",15,3.076,22.57,4.645,98.2,0.037,312.8,637.8,-12.44,-49.16,3.577,276.7,320.1,283.3
"2021-03-02 13:35:00",16,3.28,23.84,4.622,98.2,0.03,281.5,571.6,-12.77,-49.09,3.605,276.8,319.9,283.5
"2021-03-02 13:40:00",17,3.248,27.46,4.705,98.2,0.048,288.9,585.7,-12.52,-48.63,3.524,276.7,319.7,283.6
"2021-03-02 13:45:00",18,3.226,27.58,4.603,98.2,0.051,309.1,628.6,-12.38,-48.24,3.638,276.8,320.4,284.6
"2021-03-02 13:50:00",19,3.305,24.82,4.62,98.2,0.043,269.9,547.8,-12.64,-47.86,3.646,276.8,320.2,285
"2021-03-02 13:55:00",20,3.296,23.71,4.692,98.2,0.043,270.3,547.7,-12.51,-46.99,3.566,276.7,319.9,285.5
"2021-03-02 14:00:00",21,3.337,24.43,4.688,98.2,0.043,240,486.3,-12.61,-46.01,3.503,276.7,319.5,286.1
"2021-03-02 14:05:00",22,3.246,24.52,3.97,98.2,0.043,209.6,423.3,-12.39,-44.8,3.326,276.5,318.9,286.5
"2021-03-02 14:10:00",23,3.386,20.14,4.135,98.2,0.043,155.5,312.3,-12.48,-43.27,3.124,276.3,317.8,287.1
"2021-03-02 14:15:00",24,3.595,20.2,4.363,98.2,0.043,169.2,337.1,-12.39,-41.4,2.962,276.1,317.2,288.2
"2021-03-02 14:20:00",25,3.511,23.33,4.05,98.2,0.043,171.3,343.9,-12.25,-39.88,3.011,276.2,317.5,289.9
"2021-03-02 14:25:00",26,3.326,23.97,3.658,98.2,0.043,161.7,324.3,-12.03,-38.61,2.94,276.1,317.4,290.8
"2021-03-02 14:30:00",27,3.325,24.43,3.445,98.2,0.043,162.3,323.4,-11.79,-37.83,2.89,276,317.4,291.4
"2021-03-02 14:35:00",28,3.516,28.76,3.165,98.2,0.043,164.2,328.1,-11.95,-37.26,2.973,276.1,317.7,292.4
"2021-03-02 14:40:00",29,3.565,26.77,3.518,98.2,0.043,159,320.4,-12.05,-36.98,3.065,276.2,318,293.1
"2021-03-02 14:45:00",30,3.426,31.11,2.98,98.2,0.043,148.6,300.7,-11.94,-37.08,3.044,276.2,318,292.9
"2021-03-02 14:50:00",31,3.266,31.71,2.945,98.2,0.043,137,277.3,-11.67,-37.05,2.884,276,317.5,292.1
"2021-03-02 14:55:00",32,3.241,28.02,2.93,98.2,0.043,128,258.4,-11.6,-36.8,2.77,275.9,317,291.8
"2021-03-02 15:00:00",33,3.344,27.1,3.03,98.2,0.043,121.8,243.8,-11.63,-36.2,2.635,275.8,316.4,291.8
"2021-03-02 15:05:00",34,3.455,28.25,2.728,98.2,0.043,117.9,234.2,-11.7,-35.54,2.613,275.8,316.2,292.3
"2021-03-02 15:10:00",35,3.278,30.6,2.645,98.2,0.043,114.5,226.3,-11.56,-34.84,2.588,275.7,316.2,292.9
"2021-03-02 15:15:00",36,3.11,31.56,3.188,98.2,0.043,112,219.5,-11.28,-34.07,2.42,275.6,315.7,292.9
"2021-03-02 15:20:00",37,3.082,28.94,3.357,98.2,0.043,109.6,213.5,-11.21,-33.48,2.266,275.4,315,292.8
"2021-03-02 15:25:00",38,3.047,29.42,3.502,98.2,0.043,107.1,208.4,-10.93,-32.99,2.172,275.3,314.9,292.8
"2021-03-02 15:30:00",39,3.214,31.82,3.525,98.2,0.023,104.9,203.5,-11.14,-32.62,2.154,275.3,314.6,293.1
"2021-03-02 15:35:00",40,3.23,27.85,3.64,98.2,0.029,101.8,197.3,-11.21,-32.25,2.141,275.3,314.4,293.4
"2021-03-02 15:40:00",41,3.324,25.99,3.118,98.2,0.043,98.7,190.8,-11.3,-32.23,2.171,275.3,314.5,293.6
"2021-03-02 15:45:00",42,3.485,30.81,2.418,98.2,0.032,96.2,185.8,-11.64,-32.23,2.286,275.4,314.7,294.1
"2021-03-02 15:50:00",43,3.175,33.37,1.225,98.2,0.032,92.9,180.3,-11.25,-32.25,2.243,275.4,314.9,293.9
